"","Gene","acarbose/H/24 hr","acarbose/H/24 hr(p)"
"242826_at","",0.8336323197307924,0.12086203567306365
"230178_s_at","55250",0.8324082096651448,0.20519065150047971
"227532_at","127495",0.8312670631034249,0.16690186935020376
"225900_at","23233",0.8260783003439801,0.08824309259769018
"239841_at","",0.8258138040480855,0.17612435944555813
"215191_at","",0.825685837742368,0.15386111419251317
"240459_at","91746",0.8249806765738935,0.25452638454134824
"240770_at","134285",0.8230680621662915,0.07702872639158707
"215595_x_at","",0.8227607612278661,0.13412486476561805
"227866_at","100505519 26230",0.8224422181126991,0.17781475310986342
"222447_at","51108",0.8216120836679471,0.006024582933850749
"233198_at","55592",0.8209362179678124,0.1597471747496726
"220452_x_at","",0.8183584978851681,0.1448646756329221
"235449_at","90678",0.8152302519156057,0.28049756829508204
"209519_at","4686",0.8147134243470902,0.3515486467580633
"222313_at","",0.8136396928738484,0.11110569253173304
"213959_s_at","23322",0.8131202413487475,0.26694666482740737
"207626_s_at","6542",0.8128475461283603,0.015314256483049815
"243543_at","",0.8092807093487572,0.03713311580038819
"204156_at","23387",0.809066730633127,0.030755932161113574
"236298_at","23590",0.8067785606884695,0.5503575660662219
"230799_at","100134259",0.8067027574671299,0.14314890865180516
"226002_at","2549",0.806578879360421,0.12379090342175778
"221510_s_at","2744",0.8051822788868072,0.23146540293897985
"243166_at","64924",0.8024770017082243,0.04918444762058918
"1558854_a_at","",0.8004680611492728,0.05963137733545882
"232392_at","6428",0.7966268121948014,0.3094128892336558
"1555845_at","",0.7956846469442592,0.035534428225561306
"234675_x_at","",0.7952910410411951,0.33502380773389545
"1569806_at","",0.7949972201614345,0.057560069434822204
"209733_at","11043",0.7942269144931985,0.11989216547106163
"216628_at","",0.7928616849974451,0.4293872688415742
"242312_x_at","",0.7892999832514962,0.17283307420435304
"207850_at","2921",0.7874101717014141,0.06915671118175444
"1565651_at","",0.7836145884354689,0.07261336866618104
"244122_at","4259",0.7819107560263121,0.362900471889339
"221421_s_at","81792",0.7811010960970134,0.5293926606420293
"228842_at","",0.7784571038296454,0.15203513062914942
"220169_at","80008",0.773443654799937,0.3766669588228864
"1558251_a_at","100293516 84914",0.7720986793558773,0.02365299454542481
"1553894_at","160857",0.7714270081459546,0.17050535323540542
"217876_at","9328",0.7713747147531195,0.18022706857160356
"242258_at","",0.7709975056634459,0.10089159507427642
"216713_at","889",0.7696743352018534,0.3641312880325369
"202437_s_at","1545",0.7696042819177774,0.08943757316579566
"39548_at","4862",0.7669929304377627,0.05266672691351674
"220791_x_at","11280",0.7663769992434496,0.19152063058694982
"238561_s_at","84294",0.7663747072993254,0.32880307873980413
"237383_at","",0.76602960457547,0.23616564030541706
"232800_at","",0.7650139635710884,0.2525047316444703
"235551_at","10785",0.7611542427696832,0.02978605992944062
"223984_s_at","9818",0.7610314069170325,0.43843214205788283
"244219_at","",0.760780227865366,0.06219706280208668
"209153_s_at","6929",0.7601807815238354,0.04287720173439579
"220237_at","64422",0.7591152857103115,0.4555222013254596
"213593_s_at","29896",0.7581542203185141,0.1611804876702959
"232861_at","57546",0.7552283712181888,0.16816502421070476
"226344_at","84460",0.7549756765863864,0.26332742800084663
"212186_at","31",0.7503480689238232,0.026291497854680525
"1555388_s_at","83891",0.7501530029928947,0.2566223367191994
"231538_at","64776",0.7495482532569164,0.042523033351034786
"228944_at","",0.7481318586791801,0.23761518107390034
"238924_at","399761 728053",0.7475227903987827,0.14976653488006939
"240432_x_at","8609",0.7470616548952066,0.25880192100069094
"1554314_at","135398",0.7467385705246653,0.28475255646987885
"1559534_at","",0.7467181361674575,0.05846584082757355
"204886_at","10733",0.7454951296572354,0.4878382961354398
"216475_at","",0.745469401023384,0.27888451424679683
"209737_at","9863",0.7454130188136205,0.18629955292930045
"232101_s_at","23556",0.7451448050587717,0.0937347463070597
"235775_at","160335",0.7425862241668,0.010272097045862618
"228630_at","7637",0.7415837868843489,0.3512325404969015
"229987_at","",0.7414319450895819,0.11106694829545272
"243219_x_at","54534",0.7409289162829643,0.21678531828538836
"239668_at","",0.7399997437163002,0.2853228731080761
"1555866_a_at","284004",0.7391317674862263,0.04490764218593984
"229274_at","2778",0.738605755754973,0.3957665103323463
"228676_at","220064",0.7384230249692447,0.1451242013785243
"240307_at","",0.7379566681968741,0.20415957909571888
"243559_at","",0.7375556768519452,0.22136509605789695
"213812_s_at","10645",0.7374258644705071,0.394107641305963
"235124_at","645212",0.7372274082491588,0.0012023631371535948
"226721_at","286148",0.7369660744986641,0.34306279135281614
"217490_at","",0.7368725974453784,0.15118791638299606
"225047_at","9818",0.7340172829398184,0.14486732733629437
"243550_at","340481",0.7332194162488108,0.13997287059830413
"243857_at","9643",0.7315663542400221,0.20848818405306463
"233270_x_at","",0.7286016176270798,0.38239142774896184
"240798_at","",0.7276189556456452,0.3132055453030493
"230609_at","9685",0.7252537542826536,0.25937303216057084
"216173_at","",0.7249179178169776,0.1775721483020692
"1561631_at","",0.7230161278149086,0.0790331192059795
"1558719_s_at","84268",0.721782921372163,0.14457445841618224
"210204_s_at","4850",0.7209911698594077,0.0021161058107177335
"243759_at","57466",0.7200944459015559,0.09261906079588131
"1561886_a_at","",0.7197164103950523,0.031001985670029174
"219091_s_at","79812",0.7189363427215517,0.2983321706067395
"1557059_at","254128",0.7185667498656009,0.042269990768504684
"238606_at","65988",0.7183654449184024,0.2030951628361427
"232128_s_at","1184",0.7174667323887455,0.2255526876739128
"214739_at","84859",0.7168790943979022,0.08234046263316797
"244165_at","54906",0.7167026540669441,0.1407884676657422
"238890_at","54014",0.7156539145833242,0.1404108294338689
"228065_at","283149",0.715428152919975,0.16267146224092224
"207323_s_at","4155",0.7151305621621479,0.05859252042879851
"243407_at","256471",0.7143456670590288,0.20814212660463868
"229710_at","",0.7141399614140642,0.08747320978611052
"238063_at","201799",0.7130912177728471,0.16380350314152634
"212317_at","23534",0.7124000018336479,0.018911879344865178
"221681_s_at","1834",0.7117836306940651,0.19417395054274145
"1566887_x_at","",0.7098463595455857,0.04142527777291039
"213700_s_at","",0.7094172424181945,0.10974438104878909
"213193_x_at","28639",0.7088044713134558,0.44041073986898904
"223643_at","1427",0.7085695493340917,0.1295970514073679
"206183_s_at","8916",0.7079565514704961,0.15574381542551366
"221965_at","10198",0.7078979736636385,0.4059573159105422
"236140_at","2730",0.7078105568127675,0.35108554400673303
"208042_at","55109",0.7073417399476147,0.32133689738192606
"222790_s_at","54665",0.7066274142095151,0.16037972143448948
"225971_at","80821",0.7042504616431988,0.11405921089805786
"230559_x_at","121512",0.7042093178284892,0.4310990474866213
"242984_at","4289",0.7039642043510043,0.27278960596214613
"1554545_at","403314",0.7028799684963786,0.30321753735270784
"235505_s_at","4043",0.7024912165215383,0.11260134688916093
"240155_x_at","284443",0.7012097822407287,0.46472134466075277
"211051_s_at","2137",0.6999277344837751,0.13209509968970826
"230130_at","9353",0.6982809821807296,0.18093407977664036
"239163_at","7320",0.6956371626587157,0.3671412965845884
"220121_at","55180",0.6946590973099522,0.05746391902722822
"233214_at","",0.6946082846588258,0.34065815214320494
"1559214_at","",0.6939899158643255,0.410391155048874
"239022_at","",0.6938705918776873,0.1797542657823205
"244171_at","4289",0.6923611706012736,0.2223639964486866
"217125_at","",0.6916913255320192,0.2643195453126294
"242518_at","100505648",0.6916590886881173,0.27300656695020065
"242364_x_at","100131096",0.6914933146501264,0.2659866342110379
"210944_s_at","825",0.691389480272222,0.2771310293327741
"204286_s_at","5366",0.6902633282743121,0.01546883284949207
"1554448_at","",0.6881930417068997,0.29299490407128154
"1553514_a_at","55350",0.6872366494213228,0.2592450741773115
"207247_s_at","7543 7544",0.6872152474897899,0.11786381988447117
"221528_s_at","63916",0.68680048555106,0.01743682757455089
"227663_at","",0.6862103378678813,0.2524070280283984
"212144_at","25777",0.6855056193154718,0.24463726874067473
"1559005_s_at","54875",0.6854756082950054,0.14022422298754061
"235866_at","138241",0.6845341362960173,0.1445902085762855
"212230_at","8613",0.6838917447934824,0.11194891401042639
"234986_at","2730",0.683673212576879,0.16042836961232346
"1560869_a_at","",0.683622784557683,0.4280110550021752
"202761_s_at","23224",0.6833205792865966,0.028231167202558742
"237746_at","",0.6824779917823814,0.36152313162851435
"227924_at","54891",0.6808983487911666,0.058840570674781247
"229895_s_at","4690",0.6791480136601197,0.04539930477093435
"233068_at","",0.6759260533021745,0.24424654745120125
"229129_at","3184",0.6753759563293525,0.18204764560165715
"204813_at","5602",0.6751430362495335,0.1290163714134652
"41387_r_at","23135",0.6749010077148742,0.11627757247858457
"234807_x_at","",0.6748526207893966,0.16982359554796533
"205280_at","2743",0.6745963298551542,0.09501091953091673
"210803_at","10587",0.6742563133519434,0.639335394111185
"236477_at","55660",0.67366096422245,0.24097458974277555
"205510_s_at","55056",0.6736424870096079,0.311453680972498
"1557609_s_at","23232",0.6733060643070079,0.28701873835312225
"238320_at","100653017 283131 693197",0.6727418669547667,0.2258683581232975
"230499_at","330",0.6700292865347613,0.17221627181807678
"222548_s_at","9448",0.6696435420467919,0.05450831293402511
"231234_at","1075",0.6688835184192691,0.6049374379296021
"52078_at","84065",0.6687574506104078,0.10021392231809752
"237246_at","",0.6683800921225727,0.33168700004782803
"222765_x_at","51575",0.6646315184865622,0.11066493837318854
"233204_at","",0.6636805795769585,0.3967367002717897
"235497_at","643837",0.6636131397322713,0.28498886911978083
"1554882_at","1161",0.6633452432151231,0.3185767460807523
"233020_at","",0.6622719298428411,0.10215785104817605
"212608_s_at","",0.6622266688622939,0.362610363288088
"243542_at","9581",0.6613740236551677,0.16187963936956373
"212735_at","9711",0.6606913215730252,0.2214635802228287
"228108_at","151742",0.6606447678492781,0.3923452981691627
"231874_at","285172",0.658764427669526,0.05129073951023275
"220019_s_at","7767",0.6587200912194577,0.2740427186869082
"244614_at","10342",0.6578858198026503,0.22021963156554047
"227685_at","7110",0.6570396846695513,0.038630251129823524
"204075_s_at","9731",0.6569556221345111,0.4963362722752068
"209098_s_at","182",0.6553904873810003,0.3705848927009486
"202526_at","4089",0.6553353559422755,0.03826514715443132
"239143_x_at","51444",0.6533795053254681,0.11353588130919634
"239251_at","",0.6520832728301249,0.1427800674301573
"242335_at","51312",0.6514990025120093,0.06664343590151366
"215366_at","23161",0.6512749407772179,0.02732991552826938
"236109_at","",0.6505195058806986,0.10554473371743393
"228749_at","57683",0.6495313088763208,0.28289658365569087
"216961_s_at","84268",0.6491384734399078,0.38782365301970123
"209544_at","8767",0.6486581498496526,0.2678363398182184
"243673_at","",0.6480939668587504,0.356466999229318
"211584_s_at","4863",0.6476489602389545,0.4703452093930789
"224047_at","",0.6473584144864882,0.31086049710222374
"219512_at","79980",0.6464625682562891,0.42151961013071804
"232145_at","388969",0.6463912999146105,0.05594665083053609
"236384_at","55421",0.6462240592945022,0.43218484045880823
"241644_at","552900",0.6446062494135946,0.39980333488595104
"238952_x_at","374899",0.6442442546587683,0.1497025386833227
"1557521_a_at","",0.6440401677719484,0.019030853318742585
"235498_at","127255",0.6439063882526941,0.368397635092337
"243065_at","",0.6436126420295494,0.11079849635688632
"230332_at","84186",0.6436002374967599,0.26706401348994363
"212824_at","8939",0.6432956733599383,0.230379120033395
"231939_s_at","55814",0.6427640962142641,0.2624859159262695
"229804_x_at","55871 644019 150472 728013 220869 445571",0.6408728069049742,0.018898414532223257
"242639_at","79664",0.6404816699556805,0.23392878599748299
"202859_x_at","3576",0.6402767563419428,0.021821487560805927
"226338_at","55529",0.6398587460366058,0.4838149339121387
"201165_s_at","9698",0.6375673664400289,0.12389626986852638
"205122_at","100526694 8577",0.6373534206302904,0.12779682996019212
"224365_s_at","91151",0.637270754527783,0.23853699092136277
"235623_at","55250",0.6370461940262228,0.29707106858088267
"215694_at","79029",0.6370360825794752,0.07137471072312965
"239866_at","",0.635418989440047,0.1442823978699754
"225285_at","586",0.6330641149851848,0.3348569432120689
"210076_x_at","26135",0.6323470468257592,0.03745254136010349
"1559535_s_at","",0.6323306024327283,0.05046529770213176
"241754_at","286205",0.631632031552099,0.1508782085429903
"233867_at","",0.6312125093975415,0.3097060365819942
"1562472_at","",0.6307016378424927,0.25020559257925884
"207545_s_at","8650",0.6306168446039587,0.34167667583986144
"1563629_a_at","100507321",0.6306146802069458,0.35353922474360744
"241065_x_at","55907",0.6306111988846315,0.3787602479869808
"218121_at","3163",0.6305529284507256,0.3794548449871855
"233219_at","",0.6303463306306323,0.043469846874336734
"238449_at","595101",0.6293213811300783,0.3852103113829903
"213263_s_at","5094",0.6289736899709303,0.17438006278663393
"205266_at","3976",0.6274769398166332,0.15375449875460245
"238524_at","",0.6274047893041149,0.15645835927217225
"228861_at","8760",0.6271574341824381,0.1712378765645586
"205939_at","1551",0.6265634037854155,0.5626571285483515
"243278_at","93986",0.6253141799801525,0.22362651764626332
"1569952_x_at","",0.6251925582559419,0.3404432185711347
"213306_at","8777",0.624306326448153,0.3669724752979974
"231193_s_at","",0.6242343652372594,0.3436078564506373
"235438_at","",0.623772677365218,0.278378206551397
"236283_x_at","646214",0.6237365462000853,0.13676707307501537
"200603_at","5573",0.6234227186918245,0.014509467742547787
"230147_at","2151",0.6223437304049357,0.10443859390039863
"236704_at","100505971",0.6202022809892372,0.303972518861894
"243134_at","",0.6201361042663079,0.18491215407900838
"216399_s_at","49855",0.6187793420401531,0.0655683674349173
"226105_at","56913",0.6179810037186266,0.11318987475661887
"221096_s_at","55374",0.6175397844514238,0.08303078227333939
"213530_at","22930",0.6172654225082919,0.37628480257138824
"227185_at","643988",0.6169050698061099,0.024767551069693167
"238799_at","27109",0.6167648077274149,0.5298627200275565
"243683_at","9643",0.6159188326824049,0.35714188218887144
"219630_at","10158",0.6156007210768525,0.12025849893750017
"216323_x_at","113457 7278",0.615515645626824,0.22145214136041844
"228941_at","144245",0.6152418087999518,0.5077164555315297
"241876_at","",0.614948530308886,0.42073831003386075
"213020_at","9527",0.6149158222113731,0.20520817706161915
"236841_at","100134445",0.6149150132301886,0.010466359416414812
"235211_at","",0.614583946015125,0.6398754423613848
"238011_at","",0.6145524543581522,0.2720776176786224
"222180_at","",0.6141626967209405,0.313726233150009
"235119_at","83860",0.613105608101198,0.263845549652015
"220528_at","55350",0.6129309468760895,0.16554649343791947
"238913_at","",0.6107012467375317,0.4455445619824378
"212976_at","23507",0.6104756979085911,0.27552731165468575
"240206_at","6897",0.6104733698209018,0.3766192483833576
"242920_at","",0.6102418796403489,0.3463759716307624
"242116_x_at","",0.6099768890035503,0.20781147046836032
"234488_s_at","64395 64396",0.6098147661322555,0.13979421232322076
"237110_at","",0.6094107922656564,0.10350868248812527
"242784_at","",0.609122213738517,0.21319392210808352
"220039_s_at","54901",0.6082449896236187,0.6116269535138436
"218513_at","55319",0.6075485276254924,0.03040050181736362
"240765_at","",0.6071491495515035,0.3252877263757605
"211696_x_at","3043",0.6071160383779494,0.35967762709900297
"229908_s_at","64718",0.6065306424223995,0.10517613791284733
"203742_s_at","732360 6996",0.604761172505174,0.39036000409443433
"243108_at","10048",0.6043791348499288,0.48981080752219464
"218665_at","8322",0.6043166630148049,0.05929460907210877
"217678_at","23657",0.60430924497564,0.016747400442110365
"203112_s_at","100126332 7469",0.6031930151787528,0.023108789303944482
"235783_at","51154",0.6024437065238587,0.22574629639046037
"233197_at","55958",0.6020014714952738,0.1337335886473314
"226158_at","54800",0.6014946487706552,0.19362656492698807
"233702_x_at","",0.6011411587232258,0.14345262537090006
"242389_at","51747",0.6007729474743215,0.03036536546207548
"227467_at","157506",0.6004578729510976,0.10774661190383182
"1559121_s_at","",0.6003387454534621,0.6551745136824174
"217379_at","",0.6002053375892715,0.1346850183411576
"243196_s_at","10906",0.599431047166764,0.34418624232182365
"219178_at","79691",0.5992873112303512,0.17986338638438354
"210172_at","7536",0.5990506471361386,0.18896415842737596
"226675_s_at","100507645 378938",0.5988708157382892,0.024472213548638974
"225721_at","171024",0.5984337450501694,0.4548214749912479
"226261_at","223082",0.5977662398421166,0.1187819384290198
"210686_x_at","8034",0.5968195899343404,0.13876844462230165
"202510_s_at","7127",0.596213030242664,0.013333444450372411
"1564207_at","255031",0.5959979321986606,0.4620664740715589
"226240_at","93624",0.5957554255166327,0.05516035663574421
"214753_at","10443",0.5951976713147169,0.25212369584003014
"214727_at","675",0.595092908436093,0.23966047208617175
"1560131_at","100506497",0.5950635979652992,0.15452172826003466
"220223_at","79915",0.5950312251096276,0.4087153969607537
"209556_at","23154",0.5941048836760995,0.10478863870330778
"230302_at","",0.5933515671724074,0.24067311989046
"220874_at","",0.593294057707351,0.409285710925099
